,0
0,5.081
1,44.453
2,0.0
3,208.61
4,0.0
5,5.73
6,0.0
7,-19.265
8,2.203
9,0.0
10,1.92
11,30.087
12,15.02
13,28.52
14,-14.668
15,7.762
16,36.54
17,-1455.66
18,13.96
19,325.04
20,4.66
21,-8.23
22,0.0
23,
24,88.701
25,18.352
26,3.52
27,7.03
28,14.66
29,8.389
30,0.684
31,24.581
32,-0.742
33,9.023
34,23.96
35,-2.207
36,-7.63
37,-16.247
38,3.55
39,-0.499
40,13.07
41,-1.262
42,52.96
43,39.51
44,48.038
45,
46,1.588
47,4.969
48,-23.683
49,6.893
50,-98.759
51,60.851
52,0.472
53,
54,75.09
55,6.138
56,0.615
57,0.0
58,-0.665
59,3.557
60,15.24
61,-1.56
62,45.6
63,0.896
64,38.8
65,13.35
66,-1.39
67,-0.9
68,128.274
69,57.72
70,6.966
71,23.05
72,3.809
73,-15.19
74,3.298
75,-32.457
76,-27.543
77,34.816
78,24.96
79,1.152
80,118.68
81,13.89
82,-0.703
83,0.0
84,1.08
85,20.134
86,0.424
87,-7.335
88,-1.16
89,56.161
90,
91,38.325
92,-12.285
93,-6.989
94,
95,-14.796
96,-8.889
97,0.013
98,52.11
99,7.391
100,41.94
101,33.61
102,8.517
103,14.424
104,28.81
105,60.808
106,4.117
107,14.534
108,33.927
109,5.68
110,34.418
111,2.989
112,
113,1.03
114,0.395
115,-18.718
116,9.324
117,-13.684
118,16.65
119,0.848
120,16.003
121,2.282
122,-0.726
123,-18.447
124,-15.416
125,4.9
126,
127,2.43
128,-0.64
129,-62.91
130,2.46
131,5.47
132,26.29
133,-18.72
134,32.06
135,47.436
136,-0.094
137,-0.6
138,9.84
139,-1.694
140,-52.189
141,32.728
142,18.57
143,6.91
144,33.21
145,2.97
146,20.13
147,3.33
148,37.32
149,2.2
150,13.17
151,4.208
152,-97.738
153,221.17
154,0.433
155,37.86
156,11.487
157,91.04
158,
159,8.819
160,1.271
161,-19.67
162,38.76
163,26.43
164,2.75
165,16.985
166,24.13
167,1.36
168,2.81
169,1.186
170,-0.715
171,167.9
172,15.12
173,16.49
174,280.9
175,-2.64
176,275.14
177,73.0
178,-11.75
179,73.52
180,0.0
181,-24.07
182,60.912
183,-10.212
184,5.4
185,-2.386
186,22.48
187,3.61
188,73.48
189,15.768
190,13.69
191,-0.87
192,4.862
193,3.319
194,6.35
195,8.48
196,-11.574
197,-25.231
198,127.668
199,-3.3
200,-6.256
201,102.959
202,46.09
203,57.824
204,9.02
205,18.75
206,0.067
207,14.06
208,-0.626
209,11.96
210,-26.52
211,8.62
212,16.5
213,20.126
214,7.41
215,12.269
216,70.89
217,-5.568
218,-41.872
219,0.0
220,14.36
221,1.09
222,0.66
223,0.02
224,-2.71
225,-8.27
226,360.819
227,-12.74
228,-38.748
229,-7.75
230,0.179
231,-7.658
232,2.602
233,6.19
234,1.11
235,2.73
236,81.83
237,2.8
238,-24.121
239,-2.438
240,0.131
241,6.49
242,-2.131
243,4.9
244,-11.21
245,42.91
246,10.42
247,3.406
248,-22.71
249,3.69
250,7.56
251,163.4
252,20.396
253,2.188
254,-29.539
255,-4.05
256,77.4
257,-13.741
258,-7.658
259,30.94
260,5.33
261,1.32
262,11.539
263,-5.47
264,-9.2
265,20.22
266,2.43
267,-4.877
268,20.84
269,0.126
270,3.68
271,41.93
272,19.11
273,-11.874
274,34.25
275,5.92
276,0.23
277,31.71
278,-2.291
279,14.99
280,15.311
281,30.33
282,0.0
283,7.083
284,-3.609
285,-4.852
286,13.7
287,19.17
288,106.81
289,1.37
290,-1.26
291,20.242
292,0.197
293,-1.73
294,-0.155
295,15.245
296,8.62
297,-2.725
298,70.919
299,-0.851
300,100.4
301,10.03
302,-4.36
303,-6.78
304,33.751
305,6.817
306,16.48
307,3.785
308,0.0
309,17.28
310,18.52
311,43.93
312,37.77
313,3.586
314,-0.535
315,29.79
316,0.0
317,-42.285
318,97.08
319,0.0
320,-27.468
321,20.61
322,0.0
323,46.27
324,90.443
325,73.29
326,38.07
327,3.627
328,0.25
329,8.22
330,1.73
331,57.991
332,17.79
333,3.22
334,5.395
335,45.22
336,95.914
337,0.061
338,
339,48.32
340,8.26
341,-0.295
342,8.9
343,2.404
344,48.229
345,9.75
346,12.59
347,-1.512
348,5.198
349,0.511
350,22.91
351,24.701
352,0.05
353,8.58
354,33.06
355,8.57
356,9.55
357,65.55
358,33.4
359,-7.871
360,-9.281
361,13.53
362,5.902
363,31.92
364,-8.715
365,0.355
366,-10.53
367,10.7
368,-12.534
369,0.266
370,16.33
371,43.17
372,-0.23
373,82.19
374,39.2
375,56.88
376,0.19
377,
378,0.0
379,-0.9
380,-13.152
381,4.15
382,8.482
383,0.0
384,5.72
385,-7.49
386,34.52
387,1.47
388,-7.3
389,44.61
390,4.325
391,92.56
392,6.04
393,95.907
394,-1.269
395,
396,-6.321
397,74.75
398,24.369
399,4.42
400,8.83
401,14.707
402,9.777
403,0.0
404,8.35
405,15.04
406,-1.696
407,11.03
408,0.136
409,17.75
410,
411,-23.585
412,115.14
413,7.83
414,43.746
415,0.068
416,66.31
417,4.86
418,-34.5
419,25.06
420,5.62
421,0.695
422,-3.334
423,81.29
424,2.97
425,-27.381
426,49.24
427,34.385
428,-0.831
429,-8.78
430,-6.17
431,19.55
432,7.486
433,5.14
434,-3.37
435,-55.656
436,3.238
437,0.22
438,10.23
439,8.4
440,-5.006
441,4.52
442,4.729
443,31.21
444,0.66
445,3.99
446,-23.18
447,7.57
448,12.32
449,3.49
450,26.14
451,-163.014
452,38.517
453,91.98
454,-94.403
455,16.49
456,-13.41
457,26.698
458,36.06
459,-0.233
460,56.55
461,9.53
462,49.2
463,
